Id,genre,Usage
7625,Underground Rap,Public
10059,Underground Rap,Public
8322,Underground Rap,Public
22036,techhouse,Public
12324,Trap Metal,Public
25704,techno,Public
25533,techno,Public
21131,Hiphop,Public
7827,Underground Rap,Public
18480,Pop,Public
6366,Underground Rap,Public
26310,techno,Public
8161,Underground Rap,Public
16145,RnB,Public
26726,techno,Public
28957,trance,Public
7656,Underground Rap,Public
32261,psytrance,Public
35245,trap,Public
14835,Rap,Public
5356,Underground Rap,Public
2990,Dark Trap,Public
38395,dnb,Public
13504,Emo,Public
25077,techno,Public
17690,RnB,Public
18392,Pop,Public
18734,Hiphop,Public
2863,Dark Trap,Public
40033,hardstyle,Public
39296,dnb,Public
5199,Underground Rap,Public
10308,Underground Rap,Public
36981,dnb,Public
9389,Underground Rap,Public
29081,trance,Public
12114,Trap Metal,Public
36475,dnb,Public
14759,Rap,Public
5941,Underground Rap,Public
2791,Dark Trap,Public
5989,Underground Rap,Public
26896,techno,Public
655,Dark Trap,Public
20817,Hiphop,Public
6330,Underground Rap,Public
4237,Dark Trap,Public
21771,techhouse,Public
5662,Underground Rap,Public
27175,techno,Public
20718,Hiphop,Public
37746,dnb,Public
12865,Emo,Public
17926,RnB,Public
4091,Dark Trap,Public
16971,RnB,Public
39423,hardstyle,Public
40495,hardstyle,Public
19831,Hiphop,Public
27634,trance,Public
2830,Dark Trap,Public
23298,techhouse,Public
1139,Dark Trap,Public
2865,Dark Trap,Public
36145,trap,Public
18005,RnB,Public
40197,hardstyle,Public
37773,dnb,Public
15864,Rap,Public
2004,Dark Trap,Public
28507,trance,Public
33806,trap,Public
8059,Underground Rap,Public
27858,trance,Public
12871,Emo,Public
29728,trance,Public
39413,hardstyle,Public
15988,RnB,Public
38535,dnb,Public
23025,techhouse,Public
25910,techno,Public
40815,hardstyle,Public
7162,Underground Rap,Public
35112,trap,Public
22638,techhouse,Public
40161,hardstyle,Public
40721,hardstyle,Public
21222,Hiphop,Public
7337,Underground Rap,Public
12033,Trap Metal,Public
19411,Hiphop,Public
1608,Dark Trap,Public
23448,techhouse,Public
15274,Rap,Public
8901,Underground Rap,Public
39784,hardstyle,Public
7,Dark Trap,Public
28825,trance,Public
31247,psytrance,Public
21443,Hiphop,Public
24677,techno,Public
2893,Dark Trap,Public
20000,Hiphop,Public
5841,Underground Rap,Public
26130,techno,Public
3141,Dark Trap,Public
4168,Dark Trap,Public
9779,Underground Rap,Public
22773,techhouse,Public
11475,Trap Metal,Public
1282,Dark Trap,Public
27462,trance,Public
4401,Dark Trap,Public
14293,Rap,Public
32135,psytrance,Public
13024,Emo,Public
8040,Underground Rap,Public
2191,Dark Trap,Public
34066,trap,Public
23129,techhouse,Public
39119,dnb,Public
14958,Rap,Public
7278,Underground Rap,Public
3923,Dark Trap,Public
7980,Underground Rap,Public
17994,RnB,Public
29067,trance,Public
9235,Underground Rap,Public
39816,hardstyle,Public
5011,Underground Rap,Public
19431,Hiphop,Public
19718,Hiphop,Public
9189,Underground Rap,Public
26195,techno,Public
12649,Emo,Public
14603,Rap,Public
34940,trap,Public
42129,hardstyle,Public
34685,trap,Public
36493,dnb,Public
9679,Underground Rap,Public
28688,trance,Public
216,Dark Trap,Public
21308,Hiphop,Public
17460,RnB,Public
16180,RnB,Public
25180,techno,Public
6753,Underground Rap,Public
22651,techhouse,Public
14948,Rap,Public
40463,hardstyle,Public
40519,hardstyle,Public
27265,techno,Public
31236,psytrance,Public
37821,dnb,Public
13301,Emo,Public
6803,Underground Rap,Public
27269,techno,Public
32747,psytrance,Public
36616,dnb,Public
25627,techno,Public
40494,hardstyle,Public
12188,Trap Metal,Public
8501,Underground Rap,Public
27149,techno,Public
34325,trap,Public
11852,Trap Metal,Public
27583,trance,Public
39358,dnb,Public
12068,Trap Metal,Public
354,Dark Trap,Public
2399,Dark Trap,Public
32017,psytrance,Public
18217,Pop,Public
3581,Dark Trap,Public
7613,Underground Rap,Public
6612,Underground Rap,Public
23995,techhouse,Public
9370,Underground Rap,Public
11141,Trap Metal,Public
4788,Underground Rap,Public
26725,techno,Public
7732,Underground Rap,Public
30743,psytrance,Public
7330,Underground Rap,Public
30245,trance,Public
8375,Underground Rap,Public
11674,Trap Metal,Public
23389,techhouse,Public
6757,Underground Rap,Public
37330,dnb,Public
4086,Dark Trap,Public
31001,psytrance,Public
7449,Underground Rap,Public
28533,trance,Public
25836,techno,Public
40137,hardstyle,Public
4815,Underground Rap,Public
28424,trance,Public
38797,dnb,Public
34777,trap,Public
15454,Rap,Public
3290,Dark Trap,Public
34209,trap,Public
26635,techno,Public
40661,hardstyle,Public
465,Dark Trap,Public
7364,Underground Rap,Public
21367,Hiphop,Public
4056,Dark Trap,Public
31350,psytrance,Public
4104,Dark Trap,Public
2362,Dark Trap,Public
26942,techno,Public
41826,hardstyle,Public
20636,Hiphop,Public
20149,Hiphop,Public
37818,dnb,Public
40714,hardstyle,Public
31617,psytrance,Public
1402,Dark Trap,Public
29681,trance,Public
2081,Dark Trap,Public
10229,Underground Rap,Public
17972,RnB,Public
26154,techno,Public
36882,dnb,Public
41060,hardstyle,Public
16503,RnB,Public
41578,hardstyle,Public
23517,techhouse,Public
